Pattern,Phrase,Base_phrase,Relations,Frequency
<QNT>_(_<QNT>_)_and_<QNT>_(_<QNT>_)_be_found_to_be_<Value>_and_<Value>,intrinsic_coercivity_(_hci_)_and_maximum_energy_product_(_(_BH_)_max_)_be_found_to_be_0_kOe_and_0_MGOe,"(intrinsic_coercivity, hci, maximum_energy_product, (_BH_)_max, 0_kOe, 0_MGOe)","(0, 1), (1, 4), (2, 3), (3, 5)",1
<QNT>_(_<QNT>_)_of_<Value>,intrinsic_coercivity_(_hci_)_of_0_kOe,"(intrinsic_coercivity, hci, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_at_<Condition>,intrinsic_coercivity_at_0_K,"(intrinsic_coercivity, 0_K)","(0, 1)",1
<QNT>_be_<Value>,intrinsic_coercivity_be_0_kA_/_m,"(intrinsic_coercivity, 0_kA_/_m)","(0, 1)",2
<QNT>_for_<Class>,intrinsic_coercivity_for_annealed_alloy,"(intrinsic_coercivity, annealed_alloy)","(1, 0)",1
<QNT>_for_<Shape>,intrinsic_coercivity_for_sample_0,"(intrinsic_coercivity, sample_0)","(1, 0)",2
<QNT>_=_<Value>,intrinsic_coercivity_H_=_0_kA_m_-_1,"(intrinsic_coercivity_H, 0_kA_m_-_1)","(0, 1)",2
<QNT>_of_<Value>,intrinsic_coercivity_H_of_0_kOe,"(intrinsic_coercivity_H, 0_kOe)","(0, 1)",1
<QNT>_of_<Class>,intrinsic_coercivity_H_of_as_cast_magnet,"(intrinsic_coercivity_H, as_cast_magnet)","(1, 0)",1
<QNT>_of_<Class>,intrinsic_coercivity_of_(_Nd_Ce_)_Fe_Co_B,"(intrinsic_coercivity, (_Nd_Ce_)_Fe_Co_B)","(1, 0)",1
<QNT>_of_<Shape>,intrinsic_coercivity_of_(_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon,"(intrinsic_coercivity, (_Nd_Ce_)_Fe_Co_B_melt_spun_ribbon)","(1, 0)",1
<QNT>_of_<Value>,intrinsic_coercivity_of_0_kA_/_m,"(intrinsic_coercivity, 0_kA_/_m)","(0, 1)",2
<QNT>_of_<Value>,intrinsic_coercivity_of_0_kOe,"(intrinsic_coercivity, 0_kOe)","(0, 1)",3
<QNT>_of_<Class>,intrinsic_coercivity_of_Nd_Fe_B_magnet,"(intrinsic_coercivity, Nd_Fe_B_magnet)","(1, 0)",1
<QNT>_of_<QNT>,intrinsic_coercivity_of_μ_H,"(intrinsic_coercivity, μ_H)","(0, 1)",1
<QNT>_reaches_as_high_as_<Value>,intrinsic_coercivity_reaches_as_high_as_0_kOe,"(intrinsic_coercivity, 0_kOe)","(0, 1)",1
<QNT>_gradually_decreases_to_<Value>_at_<Shape>_and<Value>_at_<Shape>,it_gradually_decreases_to_0_kJ_m_-_3_at_N_=_0_and_0_kJ_m_-_3_at_N_=_0,"(it, 0_kJ_m_-_3, N_=_0, 0_kJ_m_-_3, N_=_0)","(0, 1), (1, 2), (0, 3), (3, 4)",1
<QNT>_(_<Value>_),J_(_0_T_),"(J, 0_T)","(0, 1)",1
<QNT>_=_<Value>,J_/_J_=_0,"(J_/_J, 0)","(0, 1)",1
<QNT>_be_<Value>,K_be_0_kOe,"(K, 0_kOe)","(0, 1)",2
<QNT>_for_<Class>,K_for_(_Nd_Ce_)_Fe_B,"(K, (_Nd_Ce_)_Fe_B)","(1, 0)",1
<QNT>_for_<Class>,K_for_Nd_Fe_B,"(K, Nd_Fe_B)","(1, 0)",3
<QNT>_for_<Class>,K_for_SmCo,"(K, SmCo)","(1, 0)",1
<QNT>_for_<Element>,K_for_x_=_0,"(K, x_=_0)","(1, 0)",3
<QNT>_in_<Shape>,K_in_Nd_Co_diffusion_processed_film,"(K, Nd_Co_diffusion_processed_film)","(1, 0)",1
<QNT>_in_<Shape>,K_in_sample,"(K, sample)","(1, 0)",1
<QNT>_of_<Class>,K_of_(_Nd_Ce_)_Fe_B,"(K, (_Nd_Ce_)_Fe_B)","(1, 0)",1
<QNT>_to_<Value>,K_to_0_%_/_K,"(K, 0_%_/_K)","(0, 1)",1
<QNT>_at_<Condition>,large_coercivity_at_room_temperature,"(large_coercivity, room_temperature)","(0, 1)",1
<QNT>_of_<Value>,large_coercivity_of_0_kA_/_m,"(large_coercivity, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,large_coercivity_of_0_kOe,"(large_coercivity, 0_kOe)","(0, 1)",1
<QNT>_of_<Value>,large_coercivity_of_approximately_0_kA_/_m,"(large_coercivity, approximately_0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,large_energy_product_of_about_0_MGOe,"(large_energy_product, about_0_MGOe)","(0, 1)",1
<QNT>_of_<QNT>,large_remanence_of_μ_M,"(large_remanence, μ_M)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,large_remanence_of_μ_M_=_0,"(large_remanence, μ_M, 0)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>,large_temperature_degradation_of_coercivity,"(large_temperature_degradation, coercivity)","(0, 1)",1
<QNT>_of_<QNT>,large_temperature_dependence_of_anisotropy_field,"(large_temperature_dependence, anisotropy_field)","(0, 1)",1
<QNT>_of_<QNT>,large_temperature_dependence_of_coercivity,"(large_temperature_dependence, coercivity)","(0, 1)",1
<QNT>_of_<QNT>,large_value_of_4π_M,"(large_value, 4π_M)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,large_value_of_4π_M_=_0_kG,"(large_value, 4π_M, 0_kG)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_=_<Value>,large_value_of_H_=_0_kOe,"(large_value, H, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_and_<QNT>,large_value_of_H_and_(_B_H_),"(large_value, H, (_B_H_))","(1, 0), (2, 0)",1
<QNT>_of_<QNT>,large_value_of_intrinsic_coercivity_H,"(large_value, intrinsic_coercivity_H)","(0, 1)",1
<QNT>_of_<QNT>_and_<QNT>,large_value_of_intrinsic_coercivity_H_and_maximum_energy_product_(_BH_),"(large_value, intrinsic_coercivity_H, maximum_energy_product_(_BH_))","(1, 0), (2, 0)",1
<QNT>_of_<QNT>,large_value_of_J,"(large_value, J)","(0, 1)",1
<QNT>_of_<QNT>_and_<QNT>,large_value_of_J_and_(_BH_),"(large_value, J, (_BH_))","(1, 0), (2, 0)",1
<QNT>_(_<Value>_),low_(_BH_)_(_~_0_MGOe_),"(low_(_BH_), ~_0_MGOe)","(0, 1)",1
<QNT>_for_<Class>,low_(_BH_)_for_nanocomposite_alloy,"(low_(_BH_), nanocomposite_alloy)","(1, 0)",1
<QNT>_(_<Value>_),low_coercivity_(_0_Oe_),"(low_coercivity, 0_Oe)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),low_coercivity_(_μ_H_=_0_T_),"(low_coercivity, μ_H, 0_T)","(0, 1), (1, 2)",1
<QNT>_in_<Element>,low_coercivity_in_Pr,"(low_coercivity, Pr)","(1, 0)",1
<QNT>_in_<Class>,low_coercivity_in_Pr_Cu,"(low_coercivity, Pr_Cu)","(1, 0)",1
<QNT>_in_<Shape>,low_coercivity_in_Pr_Cu_diffusion_processed_sample,"(low_coercivity, Pr_Cu_diffusion_processed_sample)","(1, 0)",1
<QNT>_in_<Shape>,low_coercivity_in_single_layer_film,"(low_coercivity, single_layer_film)","(1, 0)",1
<QNT>_of_<Value>,low_coercivity_of_~_0_T,"(low_coercivity, ~_0_T)","(0, 1)",1
<QNT>_of_<Value>,low_coercivity_of_0_kOe,"(low_coercivity, 0_kOe)","(0, 1)",2
<QNT>_of_<Value>,low_coercivity_of_0_T,"(low_coercivity, 0_T)","(0, 1)",3
<QNT>_of_<Value>,low_coercivity_of_about_0_T,"(low_coercivity, about_0_T)","(0, 1)",1
<QNT>_of_<Class>,low_coercivity_of_hot_deformed_magnet,"(low_coercivity, hot_deformed_magnet)","(1, 0)",2
<QNT>_(_<Value>_),M_(_0_kG_),"(M, 0_kG)","(0, 1)",1
<QNT>_(_<Value>_),M_(_0_T_),"(M, 0_T)","(0, 1)",1
<QNT>_=_<Value>,M_/_M_=_0,"(M_/_M, 0)","(0, 1)",7
<QNT>_of_<Value>,M_/_M_of_0,"(M_/_M, 0)","(0, 1)",3
<QNT>_=_<Value>,M_=_0_kG,"(M, 0_kG)","(0, 1)",1
<QNT>_at_<Condition>,M_at_0_°C,"(M, 0_°C)","(0, 1)",1
<QNT>_be_<QNT>,M_be_anisotropy_field,"(M, anisotropy_field)","(0, 1)",1
<QNT>_be_<QNT>,M_be_saturation_magnetization,"(M, saturation_magnetization)","(0, 1)",1
<QNT>_of_<Value>,M_of_0_T,"(M, 0_T)","(0, 1)",1
<QNT>_of_<Shape>,M_of_ribbon,"(M, ribbon)","(1, 0)",1
<QNT>_(_<Value>_),M_value_(_around_0_T_),"(M_value, around_0_T)","(0, 1)",1
<QNT>_of_<Value>,M_value_of_0_emu_/_g,"(M_value, 0_emu_/_g)","(0, 1)",1
<QNT>_of_<Shape>,M_value_of_film,"(M_value, film)","(1, 0)",1
<QNT>_of_<Shape>,M_value_of_ribbon,"(M_value, ribbon)","(1, 0)",1
<Class>_be_<Value>,magnet_be_0_kOe,"(magnet, 0_kOe)","(0, 1)",1
<Class>_be_<Value>,magnet_be_0_MGOe,"(magnet, 0_MGOe)","(0, 1)",1
<Class>_be_<Value>,magnet_be_about_0_T,"(magnet, about_0_T)","(0, 1)",1
<Class>_with_<QNT>_of_<Value>,magnet_with_coercivity_of_0_kOe,"(magnet, coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,magnet_with_energy_product_of_0,"(magnet, energy_product, 0)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,magnet_with_ratio_of_0_%,"(magnet, ratio, 0_%)","(0, 1), (1, 2)",1
<QNT>_in_<Class>,magnetic_anisotropy_in_magnet,"(magnetic_anisotropy, magnet)","(1, 0)",2
<QNT>_in_<Element>,magnetic_anisotropy_in_Sm,"(magnetic_anisotropy, Sm)","(1, 0)",1
<QNT>_in_<Class>,magnetic_anisotropy_in_SmCo,"(magnetic_anisotropy, SmCo)","(1, 0)",1
<QNT>_(_<Value>_),magnetic_energy_product_(_0_MG_Oe_),"(magnetic_energy_product, 0_MG_Oe)","(0, 1)",1
<QNT>_(_<QNT>_),magnetic_energy_product_(_BH_),"(magnetic_energy_product, BH)","(0, 1)",2
<Condition>_of_<Condition>,magnetic_field_of_0_kOe,"(magnetic_field, 0_kOe)","(0, 1)",1
<Condition>_up_to_<Condition>,magnetic_field_up_to_0,"(magnetic_field, 0)","(0, 1)",1
<Condition>_up_to_<Condition>,magnetic_field_up_to_0_T,"(magnetic_field, 0_T)","(0, 1)",1
<QNT>_in_<Class>,magnetic_moment_in_α_Fe,"(magnetic_moment, α_Fe)","(1, 0)",1
<QNT>_in_<Element>,magnetic_moment_in_α_Fe_grain,"(magnetic_moment, α_Fe_grain)","(1, 0)",1
<QNT>_of_<Element>,magnetic_moment_of_Co_atom,"(magnetic_moment, Co_atom)","(1, 0)",1
<QNT>_of_<Element>,magnetic_moment_of_Dy,"(magnetic_moment, Dy)","(1, 0)",1
<QNT>_of_<Class>,magnetic_moment_of_Fe,"(magnetic_moment, Fe)","(1, 0)",2
<QNT>_of_<Element>,magnetic_moment_of_Fe_atom,"(magnetic_moment, Fe_atom)","(1, 0)",1
<QNT>_of_<Class>,magnetic_moment_of_Sm_Co,"(magnetic_moment, Sm_Co)","(1, 0)",2
<QNT>_of_<QNT>,magnetic_polarization_of_μ_M,"(magnetic_polarization, μ_M)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,magnetic_polarization_of_μ_M_=_0_T,"(magnetic_polarization, μ_M, 0_T)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_=_<Value>_of_<Class>,magnetic_polarization_of_μ_M_=_0_T_of_nanocomposite,"(magnetic_polarization, μ_M, 0_T, nanocomposite)","(0, 1), (1, 2), (3, 0)",1
<QNT>_of_<QNT>_=_<Value>_of_<Shape>,magnetic_polarization_of_μ_M_=_0_T_of_nanocomposite_film,"(magnetic_polarization, μ_M, 0_T, nanocomposite_film)","(0, 1), (1, 2), (3, 0)",1
<QNT>_(_<QNT>_=_<Value>_),magnetization_(_4π_M_=_0_kG_),"(magnetization, 4π_M, 0_kG)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_),magnetization_(_Br_),"(magnetization, Br)","(0, 1)",1
<QNT>_at_<Condition>,magnetization_at_0_T,"(magnetization, 0_T)","(0, 1)",1
<QNT>_at_<Condition>,magnetization_at_applied_field,"(magnetization, applied_field)","(0, 1)",1
<QNT>_decreases_from_<Value>_for_<Class>_to_<Value>_for_<Class>,magnetization_decreases_from_0_T_for_Pr_Fe_B_to_0_T_for_Pr_Fe_B,"(magnetization, 0_T, Pr_Fe_B, 0_T, Pr_Fe_B)","(0, 1), (1, 2), (0, 3), (3, 4)",1
<QNT>_in_<Shape>,magnetization_in_ribbon,"(magnetization, ribbon)","(1, 0)",1
<QNT>_of_<Value>,magnetization_of_0_emu_/_g,"(magnetization, 0_emu_/_g)","(0, 1)",1
<QNT>_of_<Value>,magnetization_of_0_MA_/_m,"(magnetization, 0_MA_/_m)","(0, 1)",1
<QNT>_of_<Value>,magnetization_of_0_T,"(magnetization, 0_T)","(0, 1)",2
<QNT>_of_<Shape>,magnetization_of_bulk,"(magnetization, bulk)","(1, 0)",1
<QNT>_of_<Element>,magnetization_of_Fe,"(magnetization, Fe)","(1, 0)",2
<QNT>_of_<Class>,magnetization_of_Fe_B,"(magnetization, Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,magnetization_of_Fe_layer,"(magnetization, Fe_layer)","(1, 0)",1
<QNT>_of_<Shape>,magnetization_of_PrCo_phase,"(magnetization, PrCo_phase)","(1, 0)",1
<QNT>_of_<Shape>,magnetization_of_ribbon,"(magnetization, ribbon)","(1, 0)",1
<QNT>_of_<Shape>,magnetization_of_sample,"(magnetization, sample)","(1, 0)",1
<QNT>_of_<Shape>,magnetization_of_soft_phase,"(magnetization, soft_phase)","(1, 0)",1
<QNT>_(_<QNT>_),magnetocrystalline_anisotropy_(_H_),"(magnetocrystalline_anisotropy, H)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,magnetocrystalline_anisotropy_(_H_)_of_0_T,"(magnetocrystalline_anisotropy, H, 0_T)","(0, 1), (1, 2)",1
<QNT>_at_<Condition>,magnetocrystalline_anisotropy_at_high_temperature,"(magnetocrystalline_anisotropy, high_temperature)","(0, 1)",1
<QNT>_(_<QNT>_),magnetocrystalline_anisotropy_field_(_H_),"(magnetocrystalline_anisotropy_field, H)","(0, 1)",2
<QNT>_of_<Class>,magnetocrystalline_anisotropy_field_of_La_Fe_B,"(magnetocrystalline_anisotropy_field, La_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,magnetocrystalline_anisotropy_field_of_Pr_Co_C,"(magnetocrystalline_anisotropy_field, Pr_Co_C)","(1, 0)",1
<QNT>_of_<Shape>,magnetocrystalline_anisotropy_field_of_Pr_Co_C_phase,"(magnetocrystalline_anisotropy_field, Pr_Co_C_phase)","(1, 0)",1
<QNT>_of_<Class>,magnetocrystalline_anisotropy_field_of_Pr_Fe_B,"(magnetocrystalline_anisotropy_field, Pr_Fe_B)","(1, 0)",1
<QNT>_of_<Shape>,magnetocrystalline_anisotropy_field_of_Pr_Fe_B_phase,"(magnetocrystalline_anisotropy_field, Pr_Fe_B_phase)","(1, 0)",1
<QNT>_of_<Shape>,magnetocrystalline_anisotropy_of_0_:_0_:_0_phase,"(magnetocrystalline_anisotropy, 0_:_0_:_0_phase)","(1, 0)",1
<QNT>_of_<Class>,magnetocrystalline_anisotropy_of_Ce_Fe_B,"(magnetocrystalline_anisotropy, Ce_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,magnetocrystalline_anisotropy_of_Dy_Fe_B_alloy,"(magnetocrystalline_anisotropy, Dy_Fe_B_alloy)","(1, 0)",1
<QNT>_of_<Class>,magnetocrystalline_anisotropy_of_Nd_Fe_B_compound,"(magnetocrystalline_anisotropy, Nd_Fe_B_compound)","(1, 0)",1
<QNT>_at_<Condition>,maximum_coercivity_at_room_temperature,"(maximum_coercivity, room_temperature)","(0, 1)",1
<QNT>_of_<Value>,maximum_coercivity_of_0_kA_/_m,"(maximum_coercivity, 0_kA_/_m)","(0, 1)",2
<QNT>_of_<QNT>,maximum_coercivity_of_D,"(maximum_coercivity, D)","(0, 1)",1
<QNT>_of_<Value>,maximum_coercivity_value_of_0_kA_m_-_1,"(maximum_coercivity_value, 0_kA_m_-_1)","(0, 1)",2
<QNT>_of_<Value>,maximum_coercivity_value_of_0_kOe,"(maximum_coercivity_value, 0_kOe)","(0, 1)",1
<QNT>_of_<Value>,maximum_coercivity_value_of_approximately_0_kA_/_m,"(maximum_coercivity_value, approximately_0_kA_/_m)","(0, 1)",1
<QNT>_(_<QNT>_),maximum_energy_product_(_(_BH_)_max_),"(maximum_energy_product, (_BH_)_max)","(0, 1)",3
<QNT>_(_<Value>_),maximum_energy_product_(_0_kJ_m_-_3_),"(maximum_energy_product, 0_kJ_m_-_3)","(0, 1)",1
<QNT>_(_<Value>_),maximum_energy_product_(_0_MGOe_),"(maximum_energy_product, 0_MGOe)","(0, 1)",1
<QNT>_(_<Value>_),maximum_energy_product_(_BH_)_(_<_0_MGOe_),"(maximum_energy_product_(_BH_), <_0_MGOe)","(0, 1)",1
<QNT>_=_<Value>,maximum_energy_product_(_BH_)_=_0_kJ_/_m_3,"(maximum_energy_product_(_BH_), 0_kJ_/_m_3)","(0, 1)",1
<QNT>_be_<Value>,maximum_energy_product_(_BH_)_be_0_T,"(maximum_energy_product_(_BH_), 0_T)","(0, 1)",1
<QNT>_for_<Element>,maximum_energy_product_(_BH_)_for_Dy,"(maximum_energy_product_(_BH_), Dy)","(1, 0)",1
<QNT>_for_<Class>,maximum_energy_product_(_BH_)_for_Dy_substituted_alloy,"(maximum_energy_product_(_BH_), Dy_substituted_alloy)","(1, 0)",1
<QNT>_for_<Class>,maximum_energy_product_(_BH_)_for_sintered_magnet,"(maximum_energy_product_(_BH_), sintered_magnet)","(1, 0)",1
<QNT>_of_<Value>,maximum_energy_product_(_BH_)_of_0_kG,"(maximum_energy_product_(_BH_), 0_kG)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,maximum_energy_product_(_BH_)_of_0_kJ_/_m_3,"(maximum_energy_product, BH, 0_kJ_/_m_3)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,maximum_energy_product_(_BH_)_of_0_MG_Oe,"(maximum_energy_product_(_BH_), 0_MG_Oe)","(0, 1)",2
<QNT>_of_<Value>_be_obtained_at_<Condition>,maximum_energy_product_(_BH_)_of_0_MG_Oe_be_obtained_at_0_K,"(maximum_energy_product_(_BH_), 0_MG_Oe, 0_K)","(0, 1), (1, 2)",1
<QNT>_of_<Class>,maximum_energy_product_(_BH_)_of_Pr_Cu,"(maximum_energy_product_(_BH_), Pr_Cu)","(1, 0)",1
<QNT>_of_<Shape>,maximum_energy_product_(_BH_)_of_Pr_Cu_diffusion_processed_sample,"(maximum_energy_product_(_BH_), Pr_Cu_diffusion_processed_sample)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_(_BH_)_of_these_magnet,"(maximum_energy_product_(_BH_), these_magnet)","(1, 0)",1
<QNT>_at_<Condition>,maximum_energy_product_at_room_temperature,"(maximum_energy_product, room_temperature)","(0, 1)",1
<QNT>_for_<Class>,maximum_energy_product_for_Fe_B_Nd_Gd_Nb_Si_rod_magnet,"(maximum_energy_product, Fe_B_Nd_Gd_Nb_Si_rod_magnet)","(1, 0)",1
<QNT>_in_<Class>,maximum_energy_product_in_nanocomposite,"(maximum_energy_product, nanocomposite)","(1, 0)",1
<QNT>_of_<QNT>,maximum_energy_product_of_(_B_H_),"(maximum_energy_product, (_B_H_))","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,maximum_energy_product_of_(_B_H_)_=_0_kJ_/_m_3,"(maximum_energy_product, (_B_H_), 0_kJ_/_m_3)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_=_<Value>,maximum_energy_product_of_(_BH_)_=_0_kJ_/_m_3,"(maximum_energy_product, (_BH_), 0_kJ_/_m_3)","(0, 1), (1, 2)",3
<QNT>_of_<QNT>_=_<Value>,maximum_energy_product_of_(_BH_)_=_0_MGOe,"(maximum_energy_product, (_BH_), 0_MGOe)","(0, 1), (1, 2)",2
<QNT>_of_<Value>,maximum_energy_product_of_0_kJ,"(maximum_energy_product, 0_kJ)","(0, 1)",1
<QNT>_of_<Value>,maximum_energy_product_of_0_kJ_/_m_3,"(maximum_energy_product, 0_kJ_/_m_3)","(0, 1)",3
<QNT>_of_<Value>,maximum_energy_product_of_0_MG_Oe,"(maximum_energy_product, 0_MG_Oe)","(0, 1)",2
<QNT>_of_<QNT>,maximum_energy_product_of_H,"(maximum_energy_product, H)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_of_HD_magnet,"(maximum_energy_product, HD_magnet)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_of_hot_deformed_magnet,"(maximum_energy_product, hot_deformed_magnet)","(1, 0)",1
<QNT>_of_<QNT>,maximum_energy_product_of_M,"(maximum_energy_product, M)","(0, 1)",1
<QNT>_of_<Shape>,maximum_energy_product_of_Mn,"(maximum_energy_product, Mn)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_of_MnBi,"(maximum_energy_product, MnBi)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_of_nanocomposite,"(maximum_energy_product, nanocomposite)","(1, 0)",1
<QNT>_of_<Shape>,maximum_energy_product_of_powder,"(maximum_energy_product, powder)","(1, 0)",1
<QNT>_of_<Class>,maximum_energy_product_of_Pr_Fe_C_nanocomposite,"(maximum_energy_product, Pr_Fe_C_nanocomposite)","(1, 0)",1
<QNT>_up_to_<Value>,maximum_energy_product_up_to_0_kJ_/_m_3,"(maximum_energy_product, 0_kJ_/_m_3)","(0, 1)",1
<QNT>_up_to_<Value>,maximum_energy_product_up_to_0_MG_Oe,"(maximum_energy_product, 0_MG_Oe)","(0, 1)",1
<QNT>_(_<QNT>_),maximum_magnetic_energy_product_(_(_JH_)_),"(maximum_magnetic_energy_product, (_JH_))","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,maximum_magnetic_energy_product_(_(_JH_)_)_of_0_MGOe,"(maximum_magnetic_energy_product, (_JH_), 0_MGOe)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,maximum_magnetic_energy_product_of_0_MGOe,"(maximum_magnetic_energy_product, 0_MGOe)","(0, 1)",1
<QNT>_of_<Value>_be_obtained_at_<Condition>,maximum_magnetic_energy_product_of_0_MGOe_be_obtained_at_room_temperature,"(maximum_magnetic_energy_product, 0_MGOe, room_temperature)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,maximum_saturation_magnetization_of_0_emu_/_g,"(maximum_saturation_magnetization, 0_emu_/_g)","(0, 1)",1
<QNT>_be_<Value>,maximum_value_be_0_kOe,"(maximum_value, 0_kOe)","(0, 1)",1
<QNT>_be_<Value>,maximum_value_be_0_MG_Oe,"(maximum_value, 0_MG_Oe)","(0, 1)",1
<QNT>_of_<Value>,maximum_value_of_0,"(maximum_value, 0)","(0, 1)",1
<QNT>_of_<Value>,maximum_value_of_0_±_0_T,"(maximum_value, 0_±_0_T)","(0, 1)",2
<QNT>_of_<Value>,maximum_value_of_0_MG_Oe,"(maximum_value, 0_MG_Oe)","(0, 1)",1
<QNT>_of_<QNT>,maximum_value_of_coercivity,"(maximum_value, coercivity)","(0, 1)",2
<Fabrication>_at_<Fabrication>,melt_spun_at_wheel_speed,"(melt_spun, wheel_speed)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,melt_spun_Nd_Co_B_ribbon_with_coercivity_of_0_T,"(melt_spun_Nd_Co_B_ribbon, coercivity, 0_T)","(0, 1), (1, 2)",1
<Shape>_(_<Shape>_),melt_spun_ribbon_(_0_0_nm_),"(melt_spun_ribbon, 0_0_nm)","(0, 1)",1
<Element>_of_<Element>,Mn_substitution_of_Fe,"(Mn_substitution, Fe)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,MnBi_powder_with_coercivity_of_about_0_T,"(MnBi_powder, coercivity, about_0_T)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,Ms_of_0_kG,"(Ms, 0_kG)","(0, 1)",1
<Shape>_(_<Shape>_),multilayer_film_(_N_=_0_),"(multilayer_film, N_=_0)","(0, 1)",2
<Class>_with_<QNT>_of_<Value>,Nb_substituted_Pr_Fe_Nb_B_magnet_with_coercivity_of_0_T,"(Nb_substituted_Pr_Fe_Nb_B_magnet, coercivity, 0_T)","(0, 1), (1, 2)",1
<Element>_(_<Element>_),Nd_(_0_at_._%_),"(Nd, 0_at_._%)","(0, 1)",1
<Element>_(_<Element>_),Nd_(_0_wt_%_),"(Nd, 0_wt_%)","(0, 1)",1
<Element>_(_<Element>_),Nd_(_Cu_),"(Nd, Cu)","(0, 1)",1
<Element>_of_<Element>,Nd_content_of_0_at_._%,"(Nd_content, 0_at_._%)","(0, 1)",3
<Treatment>_and_<Treatment>,Nd_Cu_and_Pr_Cu,"(Nd_Cu, Pr_Cu)","(0, 1)",3
<Treatment>_and_<Treatment>,Nd_Cu_and_Pr_Cu_alloy,"(Nd_Cu, Pr_Cu_alloy)","(0, 1)",1
<Shape>_be_<Value>,Nd_Fe_B_film_be_approximately_0_kA_/_m,"(Nd_Fe_B_film, approximately_0_kA_/_m)","(0, 1)",1
<Shape>_(_<Shape>_),Nd_Fe_B_Ga_Nb_powder_(_0_μm_),"(Nd_Fe_B_Ga_Nb_powder, 0_μm)","(0, 1)",1
<Class>_with_<QNT>_of_<Value>,Nd_Fe_B_magnet_with_coercivity_of_0_kOe,"(Nd_Fe_B_magnet, coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,Nd_Fe_B_magnet_with_high_coercivity_of_0_T,"(Nd_Fe_B_magnet, high_coercivity, 0_T)","(0, 1), (1, 2)",1
<Shape>_with_<QNT>_of_<Value>,Nd_Fe_B_magnetic_powder_with_high_coercivity_of_0_kA_/_m,"(Nd_Fe_B_magnetic_powder, high_coercivity, 0_kA_/_m)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,Nd_Fe_B_sintered_magnet_with_high_remanence_of_~_0_T,"(Nd_Fe_B_sintered_magnet, high_remanence, ~_0_T)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,Nd_Pr_Fe_B_Ga_Cu_sintered_magnet_with_coercivity_of_0_kOe,"(Nd_Pr_Fe_B_Ga_Cu_sintered_magnet, coercivity, 0_kOe)","(0, 1), (1, 2)",1
<Condition>_of_<Condition>,operation_temperature_of_~_0_K,"(operation_temperature, ~_0_K)","(0, 1)",1
<Condition>_of_<Condition>,operation_temperature_of_0_°C,"(operation_temperature, 0_°C)","(0, 1)",1
<Treatment>_and_<Treatment>,optimum_diffusion_temperature_and_time,"(optimum_diffusion_temperature, time)","(0, 1)",2
<Treatment>_at_<Treatment>,post_sintering_thermal_treatment_at_0_°C,"(post_sintering_thermal_treatment, 0_°C)","(0, 1)",1
<Treatment>_and_<Treatment>,Pr_Cu_and_Dy_Cu,"(Pr_Cu, Dy_Cu)","(0, 1)",2
<Class>_with_<QNT>_of_<Value>,PrCo_Ti_alloy_with_energy_product_of_0_MGOe,"(PrCo_Ti_alloy, energy_product, 0_MGOe)","(0, 1), (1, 2)",1
<Fabrication>_of_<Fabrication>,processing_condition_of_melt_spinning,"(processing_condition, melt_spinning)","(1, 0)",1
